t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743439055,1430,252.168955,6.411979,1.089420,20.762148,3.900812,5.676309,11.616146,19.637148,38.029151,251.757001,1423.733603,0.000000,0.000000,0.000000,calls/second,milliseconds
1743439056,1657,347.751658,45.396621,1.023121,58.489892,1.838745,86.332511,149.643377,179.814225,200.645914,347.751658,823.873062,0.000000,0.000000,0.000000,calls/second,milliseconds
1743439057,4244,183.469087,4.076901,0.932854,7.658367,3.114330,4.616841,7.624445,10.175906,33.177053,112.344091,1407.601242,0.000000,0.000000,0.000000,calls/second,milliseconds
1743439058,6821,11.442181,3.873894,0.922902,1.495976,3.689981,4.654008,6.617210,7.617335,8.348838,10.524783,1696.588045,0.000000,0.000000,0.000000,calls/second,milliseconds
1743439059,9537,231.871994,3.712302,0.972086,15.012173,1.749865,2.754767,5.918803,8.094044,18.844127,224.910474,1897.527889,1896.200000,1896.200000,1896.200000,calls/second,milliseconds
1743439060,13053,16.597802,2.840167,0.951083,1.713856,1.987439,3.926437,6.141793,6.987180,7.738629,11.237331,2163.313092,1896.200000,1896.200000,1896.200000,calls/second,milliseconds
1743439061,17317,35.154908,2.346363,1.014842,2.288500,1.643189,2.144478,5.534800,8.196939,11.087554,34.893659,2459.185928,1896.200000,1896.200000,1896.200000,calls/second,milliseconds
1743439062,18967,57.055018,6.049604,1.202456,6.510664,3.796152,5.372466,20.631963,26.527536,32.982510,56.884064,2356.815765,1896.200000,1896.200000,1896.200000,calls/second,milliseconds
1743439063,22073,61.916566,3.248580,0.961938,3.706845,2.480077,3.553597,6.624190,12.084036,19.276836,49.097778,2437.799005,1896.200000,1896.200000,1896.200000,calls/second,milliseconds
1743439064,24875,10.603646,3.574031,0.994646,1.646898,3.564200,4.608560,6.437537,7.424455,7.937108,9.988874,2472.689696,1988.580683,1915.297082,1902.601092,calls/second,milliseconds
1743439065,28682,11.222070,2.632506,0.974234,1.498780,1.832567,3.738625,5.449978,6.263150,6.872427,10.194664,2592.050575,1988.580683,1915.297082,1902.601092,calls/second,milliseconds
1743439066,33442,11.336145,2.099728,0.938354,1.345356,1.451555,2.433226,5.041047,6.062435,6.737553,8.685726,2771.251428,1988.580683,1915.297082,1902.601092,calls/second,milliseconds
1743439067,39206,244.427837,1.750607,0.882697,3.952050,1.350664,1.545146,3.126821,4.903234,8.106935,25.966085,2998.025738,1988.580683,1915.297082,1902.601092,calls/second,milliseconds
1743439068,43921,11.529370,3.073474,0.983046,1.540138,2.646898,4.049036,5.985327,6.736085,7.488115,10.533471,3079.197186,1988.580683,1915.297082,1902.601092,calls/second,milliseconds
1743439069,47430,12.922536,2.849728,1.046017,1.752557,2.089755,4.125785,6.174742,7.142646,7.845310,10.131717,3107.056706,2181.930824,1956.478003,1916.474734,calls/second,milliseconds
1743439070,50055,16.456679,3.822048,1.084605,1.575992,3.696979,4.659888,6.542766,7.740281,8.564043,13.997245,3076.496014,2181.930824,1956.478003,1916.474734,calls/second,milliseconds
1743439071,54238,31.569428,2.391588,0.853248,1.596708,1.703116,2.981912,5.376366,6.659309,7.696986,15.276742,3140.366097,2181.930824,1956.478003,1916.474734,calls/second,milliseconds
