t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743018509,9199,12.513732,1.080309,0.587289,0.581612,1.009878,1.123508,1.373685,1.659622,2.497881,12.421540,9064.083829,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018510,19787,8.081133,0.949195,0.563613,0.288664,0.914649,1.019057,1.208226,1.306527,1.414893,5.479034,9757.559628,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018511,31576,6.986255,0.849202,0.541796,0.194372,0.841400,0.904333,1.003277,1.052180,1.089031,1.472639,10396.407591,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018512,43218,3.885154,0.855215,0.545550,0.130254,0.847256,0.914893,1.019017,1.074405,1.134874,2.117315,10694.737963,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018513,55004,2.114899,0.845187,0.541722,0.094794,0.841029,0.906457,1.003113,1.044945,1.072147,1.226981,10902.154850,10895.600000,10896.000000,10896.000000,calls/second,milliseconds
1743018514,66222,3.949177,0.889987,0.556413,0.207263,0.858947,0.932502,1.142681,1.388851,1.685840,3.360367,10943.188061,10895.600000,10896.000000,10896.000000,calls/second,milliseconds
1743018515,77943,3.930516,0.850187,0.534701,0.127766,0.843230,0.904293,0.996786,1.048895,1.099838,2.002757,11049.323144,10895.600000,10896.000000,10896.000000,calls/second,milliseconds
1743018516,89624,2.560822,0.854400,0.526260,0.114128,0.846380,0.912466,1.021043,1.093802,1.174114,1.911683,11122.204968,10895.600000,10896.000000,10896.000000,calls/second,milliseconds
1743018517,101304,4.466233,0.853738,0.547366,0.130275,0.845784,0.912750,1.019611,1.073922,1.123181,1.910567,11180.051933,10895.600000,10896.000000,10896.000000,calls/second,milliseconds
1743018518,113134,3.706629,0.842489,0.554680,0.118844,0.836924,0.900854,0.997417,1.044249,1.081385,1.617564,11241.705112,10950.385567,10907.312137,10899.791680,calls/second,milliseconds
1743018519,124880,2.358318,0.850839,0.549040,0.103950,0.845698,0.910244,1.016600,1.073909,1.121841,1.513747,11281.790490,10950.385567,10907.312137,10899.791680,calls/second,milliseconds
1743018520,136663,3.638604,0.848355,0.526259,0.118474,0.843247,0.906222,1.001544,1.053580,1.088994,1.958055,11318.709206,10950.385567,10907.312137,10899.791680,calls/second,milliseconds
1743018521,148424,3.921579,0.847022,0.527701,0.133458,0.840764,0.903885,1.006029,1.060407,1.098478,2.847668,11350.412655,10950.385567,10907.312137,10899.791680,calls/second,milliseconds
1743018522,160188,1.883293,0.848123,0.564499,0.096435,0.844512,0.909265,1.007439,1.054919,1.091105,1.309047,11377.228661,10950.385567,10907.312137,10899.791680,calls/second,milliseconds
1743018523,171898,3.479729,0.851900,0.555009,0.118361,0.847198,0.908146,0.999124,1.042226,1.080672,2.203277,11396.705764,11011.089002,10920.572789,10904.278141,calls/second,milliseconds
1743018524,183029,3.827835,0.896720,0.527708,0.211654,0.860610,0.941023,1.196392,1.464929,1.742263,3.290997,11377.624400,11011.089002,10920.572789,10904.278141,calls/second,milliseconds
1743018525,194723,2.823300,0.853079,0.530914,0.105089,0.847598,0.913612,1.014989,1.067784,1.115651,1.706622,11393.992417,11011.089002,10920.572789,10904.278141,calls/second,milliseconds
1743018526,206326,5.508100,0.859631,0.540351,0.154656,0.848012,0.912855,1.023415,1.098387,1.220785,3.328828,11403.660852,11011.089002,10920.572789,10904.278141,calls/second,milliseconds
1743018527,218070,3.613252,0.852710,0.546334,0.124997,0.846780,0.908733,1.002378,1.045087,1.085022,2.640748,11417.268935,11011.089002,10920.572789,10904.278141,calls/second,milliseconds
1743018528,229867,2.254917,0.846196,0.577449,0.097934,0.842186,0.904038,0.996487,1.038968,1.071973,1.643303,11433.920047,11053.410372,10930.817632,10907.802353,calls/second,milliseconds
1743018529,241539,3.816349,0.856622,0.556559,0.134655,0.848138,0.915238,1.018806,1.077574,1.121029,2.300594,11442.335318,11053.410372,10930.817632,10907.802353,calls/second,milliseconds
1743018530,252760,7.154619,0.890309,0.570917,0.215977,0.859353,0.938602,1.174501,1.348903,1.510740,4.719544,11430.167080,11053.410372,10930.817632,10907.802353,calls/second,milliseconds
1743018531,264447,3.824465,0.855940,0.536221,0.112640,0.849072,0.917474,1.025552,1.075205,1.125781,1.706949,11438.298075,11053.410372,10930.817632,10907.802353,calls/second,milliseconds
1743018532,276069,3.080716,0.861413,0.557744,0.111094,0.855642,0.923295,1.026072,1.080054,1.124158,1.517093,11442.574947,11053.410372,10930.817632,10907.802353,calls/second,milliseconds
1743018533,287807,4.809136,0.852695,0.516392,0.135337,0.843254,0.909732,1.017786,1.082542,1.150401,2.291041,11451.282819,11090.940695,10940.602240,10911.209533,calls/second,milliseconds
1743018619,9352,11.788824,1.068007,0.566553,0.584193,0.987305,1.097733,1.394727,1.836731,3.162459,10.653329,9159.405551,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018620,19726,11.626457,0.966104,0.544756,0.216489,0.940505,1.057481,1.247807,1.336557,1.444225,2.443913,9702.048364,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018621,31183,7.087256,0.877436,0.527582,0.234442,0.855042,0.927187,1.063224,1.260236,1.504025,4.513547,10227.257626,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018622,42894,3.571982,0.852632,0.569291,0.124656,0.845942,0.910485,1.011830,1.061985,1.097824,2.288949,10573.815039,0.000000,0.000000,0.000000,calls/second,milliseconds
1743018623,54545,2.762385,0.854904,0.552545,0.102975,0.850169,0.916582,1.021645,1.072211,1.123058,1.522244,10776.265355,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018624,65953,6.506081,0.873998,0.542305,0.218432,0.848149,0.920500,1.081547,1.264149,1.491938,3.984796,10870.275463,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018625,77582,3.788690,0.856519,0.538662,0.142793,0.843554,0.908203,1.022690,1.117085,1.273996,2.440038,10972.392004,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018626,89061,2.295621,0.869515,0.562010,0.113626,0.861209,0.930185,1.045732,1.111518,1.178542,1.814275,11028.699950,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018627,100754,3.487009,0.852148,0.529230,0.122805,0.846980,0.911207,1.016177,1.068624,1.118181,1.908299,11097.884735,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018628,112415,3.762692,0.854222,0.573363,0.123203,0.848225,0.913673,1.017970,1.066745,1.105277,1.980433,11150.550539,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018629,124001,2.160838,0.860554,0.544639,0.100654,0.855495,0.922116,1.025017,1.073139,1.114701,1.433232,11186.430740,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018630,135537,3.788810,0.863484,0.542434,0.124975,0.856216,0.923941,1.025274,1.077924,1.128822,1.923465,11212.753171,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018631,147053,3.920408,0.864829,0.555384,0.126189,0.859309,0.925896,1.028420,1.074911,1.117696,1.666942,11233.866795,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018632,158590,2.368340,0.865907,0.581631,0.100949,0.862064,0.923421,1.014875,1.062530,1.102600,1.760230,11250.913649,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018633,170085,3.789593,0.868423,0.535281,0.116871,0.864367,0.926073,1.018281,1.065003,1.096658,1.349109,11263.543509,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018634,181299,4.408878,0.887810,0.579289,0.182097,0.863026,0.934213,1.092840,1.305100,1.530152,3.083900,11258.966005,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018635,192709,8.000888,0.876286,0.577422,0.147372,0.864520,0.932032,1.045545,1.131709,1.283642,2.311046,11263.692850,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018636,203987,8.189127,0.886463,0.556263,0.163445,0.872285,0.946357,1.078261,1.176517,1.247295,3.050839,11260.641417,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
