t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743185046,4674,25.993852,4.270281,2.226118,1.118652,4.135249,4.446526,5.091014,5.411919,5.762016,23.559664,4628.623131,0.000000,0.000000,0.000000,calls/second,milliseconds
1743185047,9705,11.608700,3.981049,1.608612,0.564489,3.930241,4.173181,4.611673,4.880886,5.473798,11.392597,4820.012656,0.000000,0.000000,0.000000,calls/second,milliseconds
1743185048,14855,7.611187,3.901621,1.077154,0.364053,3.884397,4.099188,4.459425,4.617144,4.768750,6.750912,4918.414464,0.000000,0.000000,0.000000,calls/second,milliseconds
1743185049,20008,8.089581,3.884792,1.541797,0.395392,3.868715,4.078924,4.487656,4.761627,5.050139,6.643682,4973.488495,0.000000,0.000000,0.000000,calls/second,milliseconds
1743185050,24837,8.598105,4.157533,2.364850,0.740451,3.974568,4.289207,5.675964,6.602974,7.114932,8.459170,4939.683016,4938.000000,4938.000000,4938.000000,calls/second,milliseconds
1743185051,29936,7.967960,3.922100,1.818373,0.454645,3.870466,4.094366,4.577265,4.973712,5.765799,7.434802,4963.851309,4938.000000,4938.000000,4938.000000,calls/second,milliseconds
1743185052,35130,9.279413,3.852379,1.873129,0.528313,3.791137,4.014162,4.446723,4.909961,5.898914,8.879234,4995.129434,4938.000000,4938.000000,4938.000000,calls/second,milliseconds
1743185053,40250,7.381326,3.908936,1.421609,0.453868,3.866448,4.081644,4.495476,5.219412,5.935469,7.024347,5009.426014,4938.000000,4938.000000,4938.000000,calls/second,milliseconds
1743185054,45462,7.689727,3.841489,1.484111,0.331632,3.829379,4.023954,4.351921,4.514171,4.635691,6.327413,5030.684677,4938.000000,4938.000000,4938.000000,calls/second,milliseconds
1743185055,50731,7.697126,3.797457,1.220758,0.359656,3.779190,3.977768,4.346357,4.550004,4.780506,6.748602,5053.425791,4956.389785,4941.801566,4939.274235,calls/second,milliseconds
1743185056,55954,8.044519,3.839418,1.620109,0.353664,3.817493,4.034279,4.392028,4.539958,4.696879,7.059560,5067.244357,4956.389785,4941.801566,4939.274235,calls/second,milliseconds
1743185057,61199,7.582027,3.815300,1.533199,0.377312,3.787201,4.007964,4.367027,4.611315,4.957598,7.078564,5081.188567,4956.389785,4941.801566,4939.274235,calls/second,milliseconds
1743185058,66427,8.325091,3.827965,1.125125,0.364103,3.794695,4.023537,4.410423,4.614098,4.842611,6.342994,5091.665207,4956.389785,4941.801566,4939.274235,calls/second,milliseconds
1743185059,71743,8.887717,3.783269,1.477879,0.371568,3.754624,3.958733,4.327287,4.522102,4.753518,7.108143,5105.330770,4956.389785,4941.801566,4939.274235,calls/second,milliseconds
1743185060,76665,9.894664,4.067753,1.261594,0.791595,3.879244,4.179860,5.463485,6.740575,7.594959,9.613943,5092.500073,4973.453123,4945.570048,4940.551383,calls/second,milliseconds
1743185061,81866,7.733741,3.862873,2.260670,0.433311,3.812297,4.040187,4.511384,4.918028,5.627764,6.885809,5097.443979,4973.453123,4945.570048,4940.551383,calls/second,milliseconds
1743185062,87100,9.179771,3.825568,2.793162,0.446523,3.780371,3.983657,4.372972,4.646232,5.164394,8.862273,5104.802691,4973.453123,4945.570048,4940.551383,calls/second,milliseconds
1743185063,92274,7.721951,3.884877,2.316054,0.455072,3.834129,4.051163,4.542045,5.193249,5.711016,7.361923,5106.945147,4973.453123,4945.570048,4940.551383,calls/second,milliseconds
1743185064,97531,6.895622,3.817127,2.853847,0.332990,3.799742,3.994514,4.336864,4.505896,4.652265,6.531807,5113.466306,4973.453123,4945.570048,4940.551383,calls/second,milliseconds
