t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743428254,435,33.897385,19.892335,10.766325,3.685130,19.805985,21.723475,26.378387,28.842688,32.855314,33.897385,428.174534,0.000000,0.000000,0.000000,calls/second,milliseconds
1743428255,952,188.363483,22.018349,8.163245,23.077740,18.946680,21.709714,26.245076,130.803433,183.462659,188.363483,470.680121,0.000000,0.000000,0.000000,calls/second,milliseconds
1743428256,1497,41.104878,18.404606,9.225985,3.947561,17.921965,20.419475,24.780809,27.934674,34.236431,41.104878,494.949308,0.000000,0.000000,0.000000,calls/second,milliseconds
1743428257,2092,27.890165,16.797398,8.602987,3.263481,16.462420,18.805528,22.454059,24.826328,25.438391,27.890165,519.560758,0.000000,0.000000,0.000000,calls/second,milliseconds
1743428258,2644,86.863136,18.100188,7.502946,9.111811,16.953845,19.248097,23.709813,29.999609,79.775640,86.863136,525.867908,525.400000,525.400000,525.400000,calls/second,milliseconds
1743428259,3255,28.034788,16.418937,8.701207,3.357227,16.021889,18.704313,22.250881,24.109236,25.479717,28.034788,539.201732,525.400000,525.400000,525.400000,calls/second,milliseconds
1743428260,3894,63.733369,15.781599,6.680941,3.724885,15.368696,17.706112,21.286339,24.209666,24.991947,63.733369,553.186713,525.400000,525.400000,525.400000,calls/second,milliseconds
1743428261,4580,26.222518,14.542081,6.277210,2.888115,14.690849,16.349893,19.312633,20.025298,20.479417,26.222518,569.499012,525.400000,525.400000,525.400000,calls/second,milliseconds
1743428262,5269,34.685617,14.619890,8.136216,3.367422,14.214809,16.104909,19.498186,22.347809,31.456251,34.685617,582.605815,525.400000,525.400000,525.400000,calls/second,milliseconds
1743428263,5974,22.120491,14.195331,8.022313,2.275597,14.317479,15.609072,17.903736,18.768564,20.033715,22.120491,594.700996,536.385897,527.671022,526.161217,calls/second,milliseconds
1743428264,6682,23.927194,14.118865,8.471242,2.095377,14.015061,15.433673,17.745372,18.880978,19.267041,23.927194,604.872144,536.385897,527.671022,526.161217,calls/second,milliseconds
1743428265,7432,29.581960,13.366811,7.078552,2.745707,13.248607,14.854289,17.874240,19.892697,23.822413,29.581960,616.841712,536.385897,527.671022,526.161217,calls/second,milliseconds
1743428266,8172,26.739109,13.489418,6.330970,2.451033,13.481375,14.945254,17.458788,19.261234,20.450984,26.739109,626.173294,536.385897,527.671022,526.161217,calls/second,milliseconds
1743428267,8943,23.692639,13.011954,7.218631,2.291813,13.052778,14.424542,16.953930,18.087892,19.211924,23.692639,636.386967,536.385897,527.671022,526.161217,calls/second,milliseconds
1743428268,9722,21.921893,12.866558,6.766722,2.298622,12.870908,14.416193,16.290542,17.697075,18.969976,21.921893,645.771035,553.289636,531.309434,527.389129,calls/second,milliseconds
1743428269,10452,80.722221,13.808962,7.010617,7.745506,12.986082,14.552772,17.743006,19.207885,75.145625,80.722221,650.679849,553.289636,531.309434,527.389129,calls/second,milliseconds
1743428270,11247,20.426321,12.635407,6.488726,2.008290,12.685701,13.973349,15.810739,16.624993,17.600377,20.426321,658.927739,553.289636,531.309434,527.389129,calls/second,milliseconds
1743428271,12040,31.762058,12.624893,6.012581,2.677194,12.443033,14.061701,16.871313,18.255861,20.154536,31.762058,666.252042,553.289636,531.309434,527.389129,calls/second,milliseconds
1743428272,12849,18.864851,12.514409,6.380758,2.126567,12.650920,13.805099,16.015353,17.059622,17.772007,18.864851,673.438240,553.289636,531.309434,527.389129,calls/second,milliseconds
1743428273,13645,21.171646,12.585072,6.864988,1.981384,12.616502,13.902078,15.685188,16.848198,17.210851,21.171646,679.414334,571.448378,535.426539,528.790848,calls/second,milliseconds
1743428274,14461,20.736985,12.271460,6.234536,2.132636,12.250541,13.736949,15.805876,16.704885,17.811680,20.736985,685.853418,571.448378,535.426539,528.790848,calls/second,milliseconds
1743428275,14879,30.601337,12.687054,6.886096,3.324189,12.317136,13.632323,17.237754,28.083367,29.665328,30.601337,673.684702,571.448378,535.426539,528.790848,calls/second,milliseconds
1743428277,15454,1301.225029,38.438248,5.882082,168.247793,13.692423,17.380080,37.968641,47.373007,1300.590005,1301.225029,646.628445,571.448378,535.426539,528.790848,calls/second,milliseconds
1743428278,15843,550.726349,27.691497,6.433121,75.859463,13.191288,14.727451,45.787715,470.094340,471.222631,550.726349,636.178285,571.448378,535.426539,528.790848,calls/second,milliseconds
1743428279,16339,320.844251,20.175235,6.193888,43.396512,13.069867,14.850634,33.590006,319.579668,320.232353,320.844251,630.741197,563.177102,534.312076,528.454058,calls/second,milliseconds
1743428280,16897,286.499647,17.899131,5.983883,35.315866,12.741301,14.064107,24.988837,36.174683,274.593340,286.499647,628.013431,563.177102,534.312076,528.454058,calls/second,milliseconds
